version	ja3n	akamai
110	aa56c057ad164ec4fdcb7a5a283be9fc	a345a694846ad9f6c97bcc3c75adbe26
111	aa56c057ad164ec4fdcb7a5a283be9fc	a345a694846ad9f6c97bcc3c75adbe26
112	aa56c057ad164ec4fdcb7a5a283be9fc	a345a694846ad9f6c97bcc3c75adbe26
113	aa56c057ad164ec4fdcb7a5a283be9fc	a345a694846ad9f6c97bcc3c75adbe26
114	aa56c057ad164ec4fdcb7a5a283be9fc	a345a694846ad9f6c97bcc3c75adbe26
115	aa56c057ad164ec4fdcb7a5a283be9fc	a345a694846ad9f6c97bcc3c75adbe26
116	aa56c057ad164ec4fdcb7a5a283be9fc	a345a694846ad9f6c97bcc3c75adbe26
117	aa56c057ad164ec4fdcb7a5a283be9fc	52d84b11737d980aef856699f885ca86
118	aa56c057ad164ec4fdcb7a5a283be9fc	52d84b11737d980aef856699f885ca86
119	473f0e7c0b6a0f7b049072f4e683068b	52d84b11737d980aef856699f885ca86
